Sample,Gate,X Parameter,X Median
neg,cells,FSC-A,663561
neg,All Events,FSC-A,1048575
neg,singlets,FSC-A,661899
neg,All Events,FSC-A,1048575
neg,cells,FSC-A,663561
neg,All Events,PHO5pr-mCherry-A,73
neg,singlets,PHO5pr-mCherry-A,30
neg,All Events,FSC-A,1048575
neg,All Events,FSC-A,1048575
neg,All Events,chimera-GFP-A,1496
neg,singlets,chimera-GFP-A,909
neg,All Events,chimera-GFP-H,1256
parent 1,cells,FSC-A,654792
parent 1,All Events,FSC-A,993023
parent 1,singlets,FSC-A,651605
parent 1,All Events,FSC-A,993023
parent 1,cells,FSC-A,654792
parent 1,All Events,PHO5pr-mCherry-A,1475
parent 1,singlets,PHO5pr-mCherry-A,866
parent 1,All Events,FSC-A,993023
parent 1,All Events,FSC-A,993023
parent 1,All Events,chimera-GFP-A,1576
parent 1,singlets,chimera-GFP-A,950
parent 1,All Events,chimera-GFP-H,1327
parent 2,cells,FSC-A,669258
parent 2,All Events,FSC-A,1048575
parent 2,singlets,FSC-A,664981
parent 2,All Events,FSC-A,1048575
parent 2,cells,FSC-A,669258
parent 2,All Events,PHO5pr-mCherry-A,2002
parent 2,singlets,PHO5pr-mCherry-A,1127
parent 2,All Events,FSC-A,1048575
parent 2,All Events,FSC-A,1048575
parent 2,All Events,chimera-GFP-A,1501
parent 2,singlets,chimera-GFP-A,867
parent 2,All Events,chimera-GFP-H,1250
1,cells,FSC-A,670521
1,All Events,FSC-A,1021535
1,singlets,FSC-A,668574
1,All Events,FSC-A,1021535
1,cells,FSC-A,670521
1,All Events,PHO5pr-mCherry-A,46869
1,singlets,PHO5pr-mCherry-A,35124
1,All Events,FSC-A,1021535
1,All Events,FSC-A,1021535
1,All Events,chimera-GFP-A,2714
1,singlets,chimera-GFP-A,1921
1,All Events,chimera-GFP-H,2330
2,cells,FSC-A,697268
2,All Events,FSC-A,1048575
2,singlets,FSC-A,694650
2,All Events,FSC-A,1048575
2,cells,FSC-A,697268
2,All Events,PHO5pr-mCherry-A,44844
2,singlets,PHO5pr-mCherry-A,32979
2,All Events,FSC-A,1048575
2,All Events,FSC-A,1048575
2,All Events,chimera-GFP-A,2716
2,singlets,chimera-GFP-A,1915
2,All Events,chimera-GFP-H,2312
3,cells,FSC-A,706291
3,All Events,FSC-A,1048575
3,singlets,FSC-A,703596
3,All Events,FSC-A,1048575
3,cells,FSC-A,706291
3,All Events,PHO5pr-mCherry-A,43177
3,singlets,PHO5pr-mCherry-A,28582
3,All Events,FSC-A,1048575
3,All Events,FSC-A,1048575
3,All Events,chimera-GFP-A,2815
3,singlets,chimera-GFP-A,1799
3,All Events,chimera-GFP-H,2339
4,cells,FSC-A,572515
4,All Events,FSC-A,850093
4,singlets,FSC-A,570202
4,All Events,FSC-A,850093
4,cells,FSC-A,572515
4,All Events,PHO5pr-mCherry-A,5979
4,singlets,PHO5pr-mCherry-A,3610
4,All Events,FSC-A,850093
4,All Events,FSC-A,850093
4,All Events,chimera-GFP-A,3337
4,singlets,chimera-GFP-A,2048
4,All Events,chimera-GFP-H,2964
5,cells,FSC-A,582362
5,All Events,FSC-A,858453
5,singlets,FSC-A,580223
5,All Events,FSC-A,858453
