Sample,Gate,X Parameter,X Median
neg,singlets,FSC-A,661899
neg,singlets,PHO5pr-mCherry-A,30
neg,singlets,chimera-GFP-A,909
parent 1,singlets,FSC-A,651605
parent 1,singlets,PHO5pr-mCherry-A,866
parent 1,singlets,chimera-GFP-A,950
parent 2,singlets,FSC-A,664981
parent 2,singlets,PHO5pr-mCherry-A,1127
parent 2,singlets,chimera-GFP-A,867
1,singlets,FSC-A,668574
1,singlets,PHO5pr-mCherry-A,35124
1,singlets,chimera-GFP-A,1921
2,singlets,FSC-A,694650
2,singlets,PHO5pr-mCherry-A,32979
2,singlets,chimera-GFP-A,1915
3,singlets,FSC-A,703596
3,singlets,PHO5pr-mCherry-A,28582
3,singlets,chimera-GFP-A,1799
4,singlets,FSC-A,570202
4,singlets,PHO5pr-mCherry-A,3610
4,singlets,chimera-GFP-A,2048
5,singlets,FSC-A,580223
5,singlets,PHO5pr-mCherry-A,3374
5,singlets,chimera-GFP-A,2048
6,singlets,FSC-A,579740
6,singlets,PHO5pr-mCherry-A,4260
6,singlets,chimera-GFP-A,2296
7,singlets,FSC-A,618275
7,singlets,PHO5pr-mCherry-A,43510
7,singlets,chimera-GFP-A,3134
8,singlets,FSC-A,612329
8,singlets,PHO5pr-mCherry-A,51203
8,singlets,chimera-GFP-A,3247
9,singlets,FSC-A,619457
9,singlets,PHO5pr-mCherry-A,42993
9,singlets,chimera-GFP-A,3025
10,singlets,FSC-A,559832
10,singlets,PHO5pr-mCherry-A,6354
10,singlets,chimera-GFP-A,6979
11,singlets,FSC-A,536440
11,singlets,PHO5pr-mCherry-A,4881
11,singlets,chimera-GFP-A,4664
12,singlets,FSC-A,570185
12,singlets,PHO5pr-mCherry-A,5983
12,singlets,chimera-GFP-A,5340
13,singlets,FSC-A,660288
13,singlets,PHO5pr-mCherry-A,15999
13,singlets,chimera-GFP-A,1379
14,singlets,FSC-A,654684
14,singlets,PHO5pr-mCherry-A,15452
14,singlets,chimera-GFP-A,1321
15,singlets,FSC-A,659783
