Pi_fold,Adenine_fold,Group,Dilution_factor,Rep,Score
0,1,A17,1,1,0.7349666667
0,1,A17,1,2,0.7369
1,1,A17,1,1,0.9618666667
1,1,A17,1,2,0.9993666667
2,1,A17,1,1,0.9864666667
2,1,A17,1,2,0.9828333333
3,1,A17,1,1,1.006733333
3,1,A17,1,2,1.007033333
0,1,A17,10,1,0.1326666667
0,1,A17,10,2,0.1163
1,1,A17,10,1,0.255
1,1,A17,10,2,0.2290666667
2,1,A17,10,1,0.2373
2,1,A17,10,2,0.2589333333
3,1,A17,10,1,0.2114
3,1,A17,10,2,0.2506
0,1,A17,100,1,0.0594
0,1,A17,100,2,0.05673333333
1,1,A17,100,1,0.06286666667
1,1,A17,100,2,0.07456666667
2,1,A17,100,1,0.0731
2,1,A17,100,2,0.06866666667
3,1,A17,100,1,0.0721
3,1,A17,100,2,0.0703
0,2,A17,1,1,0.7060666667
0,2,A17,1,2,0.7003
1,2,A17,1,1,0.9544666667
1,2,A17,1,2,0.9798333333
2,2,A17,1,1,0.9758
2,2,A17,1,2,0.9523
3,2,A17,1,1,0.9869333333
3,2,A17,1,2,1.018466667
0,2,A17,10,1,0.1335
0,2,A17,10,2,0.1363666667
1,2,A17,10,1,0.2467333333
1,2,A17,10,2,0.2613
2,2,A17,10,1,0.2694333333
2,2,A17,10,2,0.2338
3,2,A17,10,1,0.3004
3,2,A17,10,2,0.2665333333
0,2,A17,100,1,0.05703333333
0,2,A17,100,2,0.05483333333
1,2,A17,100,1,0.0876
1,2,A17,100,2,0.06866666667
2,2,A17,100,1,0.07053333333
2,2,A17,100,2,0.0741
3,2,A17,100,1,0.0637
3,2,A17,100,2,0.07236666667
0,3,A17,1,1,0.7393666667
0,3,A17,1,2,0.7567666667
1,3,A17,1,1,0.9708333333
1,3,A17,1,2,0.9972
2,3,A17,1,1,1.0168
2,3,A17,1,2,0.9889666667
3,3,A17,1,1,1.0163
3,3,A17,1,2,0.9729
0,3,A17,10,1,0.1431333333
0,3,A17,10,2,0.1302
1,3,A17,10,1,0.2496333333
1,3,A17,10,2,0.2499666667
2,3,A17,10,1,0.2425666667
2,3,A17,10,2,0.2472666667
3,3,A17,10,1,0.243
3,3,A17,10,2,0.2442333333
0,3,A17,100,1,0.0577
0,3,A17,100,2,0.06023333333
1,3,A17,100,1,0.06366666667
1,3,A17,100,2,0.07183333333
2,3,A17,100,1,0.0718
2,3,A17,100,2,0.0924
3,3,A17,100,1,0.06536666667
3,3,A17,100,2,0.06453333333
0,4,A17,1,1,0.7452333333
0,4,A17,1,2,0.7278333333
1,4,A17,1,1,0.9404666667
1,4,A17,1,2,0.9558
2,4,A17,1,1,0.9936333333
2,4,A17,1,2,0.9471
3,4,A17,1,1,0.9764666667
3,4,A17,1,2,0.9854666667
0,4,A17,10,1,0.1594333333
0,4,A17,10,2,0.1351666667
1,4,A17,10,1,0.1987
1,4,A17,10,2,0.2064333333
2,4,A17,10,1,0.2183
2,4,A17,10,2,0.2015333333
3,4,A17,10,1,0.2405333333
3,4,A17,10,2,0.2098666667
0,4,A17,100,1,0.06733333333
0,4,A17,100,2,0.0642
1,4,A17,100,1,0.05993333333
1,4,A17,100,2,0.0699
2,4,A17,100,1,0.06516666667
2,4,A17,100,2,0.0635
3,4,A17,100,1,0.06223333333
3,4,A17,100,2,0.06076666667
0,1,B17,1,1,0.9066333333
0,1,B17,1,2,0.9121333333
1,1,B17,1,1,1.059333333
1,1,B17,1,2,1.128
2,1,B17,1,1,1.101466667
2,1,B17,1,2,1.110266667
3,1,B17,1,1,1.1282
3,1,B17,1,2,1.1745
0,1,B17,10,1,0.3347666667
0,1,B17,10,2,0.2161333333
1,1,B17,10,1,0.7449666667
1,1,B17,10,2,0.7804333333
2,1,B17,10,1,0.7341333333
2,1,B17,10,2,0.8235
3,1,B17,10,1,0.7655
3,1,B17,10,2,0.8407333333
0,1,B17,100,1,0.06086666667
0,1,B17,100,2,0.06036666667
1,1,B17,100,1,0.2805333333
1,1,B17,100,2,0.2345666667
2,1,B17,100,1,0.2191
2,1,B17,100,2,0.1811666667
3,1,B17,100,1,0.1773666667
3,1,B17,100,2,0.2542666667
0,2,B17,1,1,0.8776666667
0,2,B17,1,2,0.8667
1,2,B17,1,1,1.073333333
1,2,B17,1,2,1.0867
2,2,B17,1,1,1.082166667
2,2,B17,1,2,1.096866667
3,2,B17,1,1,1.064166667
3,2,B17,1,2,1.110633333
0,2,B17,10,1,0.2251666667
0,2,B17,10,2,0.2012666667
1,2,B17,10,1,0.7751333333
1,2,B17,10,2,0.7553
2,2,B17,10,1,0.7419
2,2,B17,10,2,0.7004333333
3,2,B17,10,1,0.6697
3,2,B17,10,2,0.7075666667
0,2,B17,100,1,0.07373333333
0,2,B17,100,2,0.06816666667
1,2,B17,100,1,0.2509
1,2,B17,100,2,0.2024333333
2,2,B17,100,1,0.1754666667
2,2,B17,100,2,0.1792333333
3,2,B17,100,1,0.2124333333
3,2,B17,100,2,0.1965333333
0,3,B17,1,1,0.8745333333
0,3,B17,1,2,0.8497
1,3,B17,1,1,1.126433333
1,3,B17,1,2,1.103466667
2,3,B17,1,1,1.123466667
2,3,B17,1,2,1.072633333
3,3,B17,1,1,1.083666667
3,3,B17,1,2,1.138466667
0,3,B17,10,1,0.2126666667
0,3,B17,10,2,0.2006333333
1,3,B17,10,1,0.7104
1,3,B17,10,2,0.7513666667
2,3,B17,10,1,0.7152
2,3,B17,10,2,0.7246666667
3,3,B17,10,1,0.6973333333
3,3,B17,10,2,0.7950666667
0,3,B17,100,1,0.08006666667
0,3,B17,100,2,0.07123333333
1,3,B17,100,1,0.2148333333
1,3,B17,100,2,0.1117333333
2,3,B17,100,1,0.1294666667
2,3,B17,100,2,0.1297333333
3,3,B17,100,1,0.1724
3,3,B17,100,2,0.1609
0,4,B17,1,1,0.8849666667
0,4,B17,1,2,0.8691
1,4,B17,1,1,1.106633333
1,4,B17,1,2,1.100133333
2,4,B17,1,1,1.066533333
2,4,B17,1,2,1.087533333
3,4,B17,1,1,1.091633333
3,4,B17,1,2,1.147933333
0,4,B17,10,1,0.2502
0,4,B17,10,2,0.2137333333
1,4,B17,10,1,0.6627
1,4,B17,10,2,0.6418
2,4,B17,10,1,0.7001333333
2,4,B17,10,2,0.6426666667
3,4,B17,10,1,0.6119666667
3,4,B17,10,2,0.7363
0,4,B17,100,1,0.109
0,4,B17,100,2,0.1183666667
1,4,B17,100,1,0.1030666667
1,4,B17,100,2,0.1148333333
2,4,B17,100,1,0.2660666667
2,4,B17,100,2,0.1618666667
3,4,B17,100,1,0.1508666667
3,4,B17,100,2,0.1824333333
